,runcat,date_obs,medianFlux(mJy),eta,V,maxFlux,medFlux,avgFlux,coord_datapoints,newSource,RA_y,RA_err,Dec_y,Dec_err,Notes
75,489,2021-07-12T01:07:26.300,1.03058392501304,2.17000002655006,0.049889438383114,0.0010952117564522,0.001030583925013,0.0010165655999449,28,N,270.399303676388,0.0002625438015481,-29.9225656364675,0.0002625438015481,
76,275,2021-10-23T12:47:07.100,0.7609613655015249,2.42353874207798,0.0683536923907293,0.000864725257124,0.0007609613655015,0.0007726718055199,28,N,270.832619509821,0.000262588871889,-29.2889370929955,0.000262588871889,
77,38,2021-05-27T23:30:11.800,2.086085617496905,4.49576041292831,0.034926705239431,0.0022118603269503,0.0020860856174969,0.0020941302303433,28,N,271.545226505634,0.0002624914893493,-30.1406275140538,0.0002624914893493,
78,365,2021-06-05T22:05:57.900,2.84200591176992,14.3157613817876,0.0459425909312107,0.0031288235717192,0.0028420059117699,0.0028954991800132,28,N,270.64962485096,0.0002624841431982,-29.8521942704906,0.0002624841431982,
79,452,2021-09-05T17:19:57.000,0.31579172745527956,6.64288006543332,0.275050653637577,0.0004766067717153,0.0003157917274552,0.0003226092627451,28,N,270.488313317185,0.0002632250893301,-30.0219491405941,0.0002632250893301,
80,320,2021-11-14T12:07:52.800,1.7472265469604449,3.53982368326962,0.0373351372431604,0.001850940368491,0.0017472265469604,0.0017489961653915,28,N,270.723476935397,0.0002624979799079,-29.5249129436692,0.0002624979799079,
82,501,2021-08-15T21:25:30.800,2.5097177645459,4.09592094273473,0.0274353638157948,0.0026523083545984,0.0025097177645459,0.002500021335383,28,N,270.369286163817,0.000262486105525,-29.5108065220321,0.000262486105525,
83,242,2021-05-15T22:24:22.000,1.5412762869434649,3.37943326108564,0.0405704095600224,0.0016929825403208,0.0015412762869434,0.0015445292196543,28,N,270.898635655063,0.0002625029315443,-29.2926685936538,0.0002625029315443,
88,121,2019-08-31T18:56:02.900,2.2585236397903903,6.38305296330094,0.0405726207457842,0.0024332755428384,0.0022585236397903,0.002276066440498,6,N,272.60316264961,0.0005670500067309,-36.4338404905059,0.0005670500067309,
93,150,2019-08-16T21:54:47.500,14.868451202929352,64.8509647314291,0.0298490410401027,0.0152596144404051,0.0148684512029294,0.0147561643859426,6,N,272.517079056426,0.0005670130143548,-37.4880492698651,0.0005670130143548,weird
104,16,2019-08-23T16:54:03.800,17.7324840791671,200.563426870251,0.0608529360455723,0.0189167177481061,0.0177324840791671,0.0175412055964835,6,N,273.022799759046,0.0005670133893085,-36.5681426701451,0.0005670133893085,6dp
106,571,2019-08-31T18:56:02.900,3.00224129891833,9.85697337479063,0.0483269309135707,0.0031432706631142,0.0030022412989183,0.002968123032484,6,N,271.248367272239,0.0005670333322111,-37.2473636935792,0.0005670333322111,
110,43,2019-08-31T18:56:02.900,2.1315940487065004,6.16719694055847,0.0418581793439124,0.0022076051766961,0.0021315940487065,0.00211099230266,6,N,272.859977523652,0.0005670539160122,-37.1990625027439,0.0005670539160122,6dp same shape
123,274,2019-08-31T18:56:02.900,2.657107206859655,1.47920252392206,0.0215043016526769,0.0027537194976409,0.0026571072068596,0.0026607056927463,6,N,272.20684260805,0.0005670389739396,-37.403447812462,0.0005670389739396,
126,221,2021-07-31T19:37:45.994,1.03609008689843,10.3972776891817,0.101869807432402,0.0013054522767275,0.0010360900868984,0.0010629701462576,21,N,237.066576468656,0.0003031868585361,-48.1837717284821,0.0003031868585361,
131,610,2021-10-17T10:56:15.001,0.8870361510563199,3.30790020165001,0.071127279875089,0.001010057839229,0.0008870361510563,0.0008813917179618,21,N,235.627958947629,0.0003032274663439,-47.3979563869906,0.0003032274663439,
136,396,2021-10-31T13:11:42.930,20.3979819238927,27.4636901003074,0.0173714030139793,0.0207127159873637,0.0203979819238927,0.0203260626326095,21,N,236.613593665764,0.0003030813602193,-47.3223447882675,0.0003030813602193,too good to be true
138,310,2021-10-17T10:56:15.001,0.34430103114065297,1.80823151435084,0.176538993000324,0.0004014810789579,0.0003443010311406,0.0003285514701904,18,N,236.838944803853,0.0003285750212156,-47.2732106715955,0.0003285750212156,
