RA,DEC,Halpha,err_Halpha,Distance,xi,err_xi,sm,err_sm,m,err_m,t0,err_t0,rms1yr,err_rms1yr,theta_r,err_theta_r,nu0,fzero
282.3212307,-3.065442638,5.09765625,0.75390625,11.34864152,85.63133947,7.598551078,0.001035993,0.000153216,0.226876277,0.00671067,0.980373163,0.086994033,0.226876277,0.00671067,5.06E-08,2.57E-07,17.54093583,5.91E-10
282.3148978,-2.990445045,4.55859375,0.69921875,11.34538053,80.06570801,7.368515407,0.00092644,0.000142102,0.232015937,0.007117542,0.916521843,0.084348287,0.232015937,0.007117542,4.73E-08,2.50E-07,16.86104129,5.91E-10
282.9573366,-3.191684654,4.216796875,0.66796875,9.291856931,69.1479488,6.572098295,0.000856976,0.000135751,0.243635311,0.007718692,0.716336857,0.068083527,0.243635311,0.007718692,4.52E-08,2.46E-07,15.46796201,6.53E-10
282.9200922,-3.414538049,6.904296875,0.9375,8.897413606,90.95823559,7.410459417,0.001403155,0.000190527,0.222357948,0.006038576,0.922063127,0.075121415,0.222357948,0.006038576,6.07E-08,2.83E-07,18.17481444,6.68E-10
282.7317865,-2.532958861,4.607421875,0.703125,11.31462088,80.46986092,7.368160304,0.000936363,0.000142896,0.231626858,0.007069578,0.919898672,0.084229807,0.231626858,0.007069578,4.76E-08,2.50E-07,16.91105587,5.92E-10
282.1068909,-3.352449234,3.672851563,0.61328125,11.36656052,70.39714178,7.052816807,0.000746431,0.000124637,0.242185604,0.008087879,0.806596436,0.080809771,0.242185604,0.008087879,4.16E-08,2.39E-07,15.63172974,5.91E-10
282.1748996,-2.841416214,5.478515625,0.79296875,11.34185667,89.38780675,7.762877026,0.001113395,0.000161154,0.223652577,0.006474363,1.023074115,0.088848791,0.218608382,0.020058631,5.29E-08,2.63E-07,17.98956851,5.91E-10
282.4911306,-3.292355073,4.193359375,0.6640625,11.35499015,76.18492906,7.238810127,0.000852213,0.000134957,0.235890424,0.007471145,0.872467356,0.082898621,0.235890424,0.007471145,4.50E-08,2.45E-07,16.37539514,5.91E-10
282.3552331,-3.727754582,6.228515625,1.8203125,11.37769268,96.69327992,16.95543564,0.001265816,0.000369941,0.217871908,0.012734815,1.108434742,0.194367116,0.196558173,0.036744403,5.71E-08,5.74E-07,18.84040138,5.90E-10
266.5650466,-32.23403722,13.53515625,2.546875,7.814744781,127.6655774,14.41350029,0.002750739,0.000517599,0.19859824,0.007473943,1.212880325,0.136934727,0.163741002,0.01994011,9.09E-08,5.88E-07,22.18589403,7.12E-10
266.1510188,-32.56422917,19.125,3.109375,8.393842175,162.8094893,15.88190633,0.003886759,0.000631916,0.183135875,0.005954908,1.6030492,0.15637588,0.114242205,0.012635445,1.12E-07,6.25E-07,25.5975292,6.87E-10
266.6709035,-32.23431406,13.421875,2.546875,7.501047906,124.447833,14.16879901,0.002727717,0.000517599,0.200295359,0.007601431,1.158337313,0.131880549,0.172916263,0.021103632,9.05E-08,5.90E-07,21.85523375,7.27E-10
266.7607798,-32.82828615,23.375,3.53125,6.277594199,158.812997,14.39508235,0.004750483,0.000717653,0.184659357,0.00557928,1.352288637,0.122573761,0.136553212,0.013576775,1.26E-07,6.56E-07,25.22602584,7.95E-10
266.1267447,-32.06037954,12.33203125,2.4375,10.04579054,136.8835634,16.23351604,0.002506229,0.000495371,0.194036262,0.007670487,1.474450169,0.17486037,0.131599064,0.017389906,8.60E-08,5.84E-07,23.11464428,6.28E-10
284.5231476,-9.10580138,11.76953125,2.375,2.559483659,67.18466775,8.134406965,0.002391913,0.000482669,0.245985746,0.009927603,0.365286054,0.044227136,0.245985746,0.009927603,8.36E-08,5.80E-07,15.20809419,1.24E-09
284.5244015,-7.906791536,7.341796875,1.9375,2.830034921,53.22501047,8.427647741,0.001492068,0.000393757,0.265844746,0.014031285,0.304297505,0.048182464,0.265844746,0.014031285,6.30E-08,5.72E-07,13.2608759,1.18E-09
284.2603861,-8.211017118,8.25,2.03125,2.88488348,57.63349737,8.514038994,0.001676641,0.000412809,0.258885867,0.012748167,0.332679355,0.049145812,0.258885867,0.012748167,6.76E-08,5.72E-07,13.89636294,1.17E-09
285.1443034,-8.77413602,9.43359375,2.140625,2.389562496,56.84652793,7.739602399,0.001917182,0.000435038,0.260075047,0.011802993,0.298641308,0.040659739,0.260075047,0.011802993,7.32E-08,5.71E-07,13.78442931,1.29E-09
