subject_id,workflow_id,task,reducer,data.stable,data.unsure,data.extended-blob,data.aggregation_version,data.transient-variable,data.artefact
70785521,19109,T0,question_reducer,4.0,2.0,3.0,3.6.0,,
70785522,19109,T0,question_reducer,6.0,,3.0,3.6.0,1.0,
70785523,19109,T0,question_reducer,7.0,1.0,1.0,3.6.0,,1.0
70785524,19109,T0,question_reducer,2.0,2.0,4.0,3.6.0,2.0,
70785525,19109,T0,question_reducer,5.0,,2.0,3.6.0,2.0,1.0
70785526,19109,T0,question_reducer,6.0,1.0,1.0,3.6.0,,1.0
70785527,19109,T0,question_reducer,6.0,1.0,,3.6.0,3.0,
70785528,19109,T0,question_reducer,9.0,1.0,,3.6.0,,
70785529,19109,T0,question_reducer,4.0,1.0,2.0,3.6.0,2.0,1.0
70785530,19109,T0,question_reducer,6.0,,2.0,3.6.0,1.0,1.0
70785531,19109,T0,question_reducer,2.0,,4.0,3.6.0,1.0,3.0
70785532,19109,T0,question_reducer,6.0,2.0,1.0,3.6.0,1.0,
70785533,19109,T0,question_reducer,6.0,,,3.6.0,3.0,1.0
70785534,19109,T0,question_reducer,6.0,,2.0,3.6.0,2.0,
70785535,19109,T0,question_reducer,7.0,1.0,,3.6.0,1.0,1.0
70785536,19109,T0,question_reducer,,,3.0,3.6.0,,7.0
70785537,19109,T0,question_reducer,5.0,,2.0,3.6.0,2.0,
70785538,19109,T0,question_reducer,7.0,1.0,1.0,3.6.0,1.0,
70785539,19109,T0,question_reducer,5.0,,1.0,3.6.0,1.0,2.0
70785540,19109,T0,question_reducer,7.0,1.0,1.0,3.6.0,1.0,
70785541,19109,T0,question_reducer,5.0,,3.0,3.6.0,1.0,1.0
70785542,19109,T0,question_reducer,5.0,,5.0,3.6.0,,
70785543,19109,T0,question_reducer,7.0,,,3.6.0,3.0,
70785544,19109,T0,question_reducer,7.0,1.0,,3.6.0,,1.0
70785545,19109,T0,question_reducer,2.0,1.0,5.0,3.6.0,1.0,
70785546,19109,T0,question_reducer,7.0,,1.0,3.6.0,2.0,
70785547,19109,T0,question_reducer,8.0,,2.0,3.6.0,,
70785548,19109,T0,question_reducer,9.0,,,3.6.0,,1.0
70785549,19109,T0,question_reducer,6.0,,2.0,3.6.0,1.0,
70785550,19109,T0,question_reducer,6.0,,2.0,3.6.0,2.0,
70785551,19109,T0,question_reducer,7.0,,2.0,3.6.0,,1.0
70785552,19109,T0,question_reducer,4.0,2.0,4.0,3.6.0,,
70785553,19109,T0,question_reducer,5.0,1.0,2.0,3.6.0,,1.0
70785554,19109,T0,question_reducer,6.0,2.0,1.0,3.6.0,1.0,
70785555,19109,T0,question_reducer,7.0,1.0,2.0,3.6.0,,
70785556,19109,T0,question_reducer,5.0,1.0,3.0,3.6.0,,
70785557,19109,T0,question_reducer,6.0,,1.0,3.6.0,2.0,
70785558,19109,T0,question_reducer,1.0,4.0,2.0,3.6.0,,3.0
70785559,19109,T0,question_reducer,4.0,1.0,1.0,3.6.0,3.0,1.0
70785560,19109,T0,question_reducer,1.0,,5.0,3.6.0,2.0,2.0
70785561,19109,T0,question_reducer,4.0,1.0,2.0,3.6.0,2.0,
70785562,19109,T0,question_reducer,4.0,1.0,3.0,3.6.0,1.0,
70785563,19109,T0,question_reducer,8.0,,1.0,3.6.0,1.0,
70785564,19109,T0,question_reducer,7.0,1.0,2.0,3.6.0,,
70785565,19109,T0,question_reducer,1.0,2.0,3.0,3.6.0,1.0,2.0
70785566,19109,T0,question_reducer,1.0,,3.0,3.6.0,,5.0
70785567,19109,T0,question_reducer,1.0,,5.0,3.6.0,1.0,2.0
70785568,19109,T0,question_reducer,3.0,1.0,3.0,3.6.0,1.0,2.0
70785569,19109,T0,question_reducer,4.0,,3.0,3.6.0,1.0,
70785570,19109,T0,question_reducer,3.0,2.0,,3.6.0,2.0,1.0
70785571,19109,T0,question_reducer,1.0,2.0,6.0,3.6.0,1.0,
70785572,19109,T0,question_reducer,1.0,,3.0,3.6.0,1.0,5.0
70785573,19109,T0,question_reducer,4.0,3.0,3.0,3.6.0,,
70785574,19109,T0,question_reducer,6.0,1.0,,3.6.0,2.0,1.0
70785575,19109,T0,question_reducer,5.0,2.0,2.0,3.6.0,1.0,
70785576,19109,T0,question_reducer,5.0,1.0,1.0,3.6.0,1.0,1.0
70785577,19109,T0,question_reducer,2.0,1.0,7.0,3.6.0,,
70785578,19109,T0,question_reducer,2.0,1.0,5.0,3.6.0,1.0,
70785579,19109,T0,question_reducer,5.0,1.0,2.0,3.6.0,1.0,
70785580,19109,T0,question_reducer,1.0,,8.0,3.6.0,1.0,
70785581,19109,T0,question_reducer,6.0,,2.0,3.6.0,2.0,
70785582,19109,T0,question_reducer,5.0,,3.0,3.6.0,1.0,
70785583,19109,T0,question_reducer,5.0,,2.0,3.6.0,1.0,2.0
70785584,19109,T0,question_reducer,8.0,,1.0,3.6.0,,1.0
70785585,19109,T0,question_reducer,4.0,1.0,2.0,3.6.0,2.0,
70785586,19109,T0,question_reducer,6.0,,3.0,3.6.0,,1.0
70785587,19109,T0,question_reducer,5.0,,4.0,3.6.0,1.0,
70785588,19109,T0,question_reducer,6.0,3.0,1.0,3.6.0,,
70785589,19109,T0,question_reducer,1.0,,8.0,3.6.0,1.0,
70785590,19109,T0,question_reducer,,2.0,6.0,3.6.0,2.0,
70785591,19109,T0,question_reducer,5.0,1.0,2.0,3.6.0,,
